,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E009  P E S University (Ring Road Campus)  Bangalore,BB B Tech in EC,10089,--,15093,7947,14776,11550,10391,--,14098,3687,13633,8568,4889,--,8621,3018,11368,8254,38640,53958,53359,43222,88652,52279
E009  P E S University (Ring Road Campus)  Bangalore,BJ B Tech in EE,15829,--,19070,13230,--,--,20477,106119,--,5687,24139,--,7690,--,--,5037,--,13000,48044,--,75243,48731,--,--
E009  P E S University (Ring Road Campus)  Bangalore,BO B Tech in BT,30879,--,--,25542,52586,58474,18166,--,40743,--,94962,--,16942,--,--,10425,--,26265,66686,--,--,18040,--,75089
E009  P E S University (Ring Road Campus)  Bangalore,BW B Tech in CS,3358,7536,4806,3080,6608,4248,4486,--,5664,1463,--,3187,1751,6210,3195,1006,4618,3055,15675,21207,23792,17644,22191,29644
E009  P E S University (Ring Road Campus)  Bangalore,DB B Tech in ME,--,--,--,28118,--,88615,30435,--,--,21154,--,--,25363,--,--,9117,--,31458,49447,74905,146267,74760,--,--
E011  M V J College of Engineering  Bangalore,AE Aeronaut.Engg,56650,--,--,51189,78781,72429,35968,--,88723,37945,--,64833,42414,--,83097,35170,50932,63138,63590,127158,88017,63398,--,159790
E011  M V J College of Engineering  Bangalore,AI ArtificialIntelligence,25889,--,--,22922,--,31874,21704,--,--,20334,--,25844,21932,27738,--,18961,26289,21994,47721,--,74055,25703,--,67098
E011  M V J College of Engineering  Bangalore,CD Computer Sc.and Design,32626,74166,--,32489,--,37611,39148,--,91236,25427,--,--,25174,--,--,24531,52545,27015,75020,125370,101217,76326,--,--
E011  M V J College of Engineering  Bangalore,CE Civil,158170,--,--,112782,--,--,119145,--,--,111592,--,--,128429,--,--,88679,96194,110434,118042,--,159677,156641,--,--
E011  M V J College of Engineering  Bangalore,CH Chemical,101965,--,--,58922,--,151718,84673,--,--,68064,--,--,77279,--,--,35416,82576,65269,70135,167921,--,--,--,--
E011  M V J College of Engineering  Bangalore,CS Computers,19718,--,24417,19128,21357,20692,23778,--,26177,15468,--,19124,15519,25724,19733,14790,19674,18686,39088,48481,49154,28758,--,57366
E011  M V J College of Engineering  Bangalore,DS Comp. Sc. Engg-Data Sc.,26958,--,29292,24445,48737,29510,28516,196931,--,23483,47744,28037,23932,--,--,21277,--,25962,56995,--,--,36342,52061,68938
E011  M V J College of Engineering  Bangalore,EB EAT,56189,--,--,34804,--,45831,69414,216975,--,35361,--,42507,35829,--,--,34528,86455,38501,112114,--,--,142563,--,--
E011  M V J College of Engineering  Bangalore,EC Electronics,36234,--,62815,34214,43660,36804,39651,--,90345,31065,49404,--,31572,47558,34626,30717,33114,34091,79281,117365,98235,53194,--,135142
E011  M V J College of Engineering  Bangalore,EE Electrical,73641,--,75189,50370,--,132617,80046,--,113143,48567,--,105584,61502,--,--,43407,88295,50574,98601,170693,--,82144,--,170803
E011  M V J College of Engineering  Bangalore,EV EC  Engg(VLSIDesign),75445,--,80300,50887,--,149091,78202,--,--,74276,--,--,42425,--,--,42363,--,42714,135447,--,174153,135848,210124,--
E011  M V J College of Engineering  Bangalore,IE Info.Science,20923,--,--,21739,33635,23467,23293,--,46527,18537,--,22471,19807,--,26144,18485,22773,22060,56042,89650,69606,32157,--,87482
E011  M V J College of Engineering  Bangalore,ME Mechanical,129342,--,--,101277,--,--,137012,--,273690,109529,--,--,119981,--,--,93205,152932,105740,133369,--,--,223165,--,--
E011  M V J College of Engineering  Bangalore,OT Industrial IOT,177882,--,98671,93253,--,--,--,--,235381,81148,--,--,174160,--,--,77329,--,100088,137795,--,--,235763,--,--
E011  M V J College of Engineering  Bangalore,SE Aero SpaceEngg.,49573,--,89363,37676,65889,76057,49646,--,69430,39360,--,--,32317,--,--,31501,64990,46997,57797,--,112709,40881,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",AI ArtificialIntelligence,12747,--,--,14044,23914,19113,13199,--,--,12202,32675,16682,12363,--,--,12133,20276,14260,41112,--,55337,37779,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",BT Bio Technology,22621,--,115131,17929,--,26821,50933,--,--,18983,--,--,17288,--,--,14276,37400,26447,39024,--,73653,34525,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",CE Civil,63513,158146,--,73641,--,130159,57523,--,--,52432,--,--,57209,--,--,52052,55517,78019,81519,124009,137932,93148,--,112080
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",CS Computers,8616,--,21102,7314,12165,10096,4983,--,15000,4535,--,9713,5353,--,7362,4485,10166,6552,25315,34685,30691,13540,47411,37482
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",DS Comp. Sc. Engg-Data Sc.,22720,--,--,20707,25355,27154,--,--,--,--,--,16903,16222,--,--,16108,25226,16627,60319,--,--,65746,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EC Electronics,14737,--,27436,18206,--,18620,16318,--,30777,11888,32478,20127,11907,23449,18377,10655,20302,17535,43438,69078,55514,20318,--,81814
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",EE Electrical,38082,115397,81762,40822,56804,56161,49904,--,91260,36351,--,--,38534,--,49406,33972,43325,48313,61375,--,89181,34324,--,89099
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",ES Electronics andComputer,--,--,--,31655,--,--,36524,--,--,26665,--,32886,25701,--,--,25370,48802,30300,119508,121428,150751,134316,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,","IC CS-IoT, CyberSecurity",22041,70313,36438,19690,--,37410,26461,--,--,18390,--,--,17293,33566,--,16915,--,22507,72498,--,87424,31776,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",IE Info.Science,8769,--,--,8745,--,12764,6302,--,--,6329,--,12639,6945,15443,12534,6249,12937,7825,30324,75469,43761,19282,--,67128
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",ME Mechanical,97286,--,126329,89008,--,142800,83731,167353,198300,73628,--,96155,74235,--,118375,72885,100432,94481,133515,--,169703,106221,--,127940
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",RI Robotics and AI,35935,--,--,26874,--,39611,34859,--,--,23746,--,--,27114,--,--,23652,39498,28985,81091,--,137546,96142,--,--
"E012  Sir M.Visveswaraya Institute of Technology  Hunasemaranahalli,Bangalore,",TC Telecommn.,60832,--,--,35223,139356,112695,66415,--,--,34116,--,--,34847,--,--,31873,71066,65587,104105,--,159353,54240,--,--
E013  Ghousia Engineering College  Ramanagara,AI ArtificialIntelligence,98321,--,111564,86848,--,95969,80210,--,--,73426,--,--,70650,--,--,67004,96689,68792,133593,214524,189727,117285,--,--
E013  Ghousia Engineering College  Ramanagara,CE Civil,--,--,--,174817,--,--,--,--,--,--,142089,--,--,--,--,138219,--,149266,188368,--,--,225419,--,--
E013  Ghousia Engineering College  Ramanagara,CS Computers,69158,--,--,73672,81055,77516,59869,--,--,60830,83275,74352,66728,--,77388,59458,62359,69957,112343,134819,141849,81830,--,136728
E013  Ghousia Engineering College  Ramanagara,CY CS- CyberSecurity,95381,--,104081,92967,--,--,--,--,--,--,--,105645,91715,--,--,80007,--,89311,129551,--,--,139635,--,--
E013  Ghousia Engineering College  Ramanagara,EC Electronics,84500,--,--,89868,--,108774,82597,--,160679,79941,--,--,80177,--,--,77024,89479,79929,93329,--,141009,122922,--,--
E013  Ghousia Engineering College  Ramanagara,EE Electrical,118732,--,--,100829,--,166594,110859,--,--,101860,--,--,91886,--,--,89921,--,114477,162692,--,--,129581,--,136809
E013  Ghousia Engineering College  Ramanagara,IE Info.Science,79528,--,108775,77087,--,98952,76247,96124,--,75340,--,--,75068,--,--,74477,84095,77341,120076,--,200913,128407,--,238629
