,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E064  Adhichunchanagiri Institute of Technology  Chickmagalur,ME Mechanical,173178,--,--,172606,--,252005,--,--,--,160879,--,--,156179,--,--,136295,195297,217016,243261,--,253014,--,--,--
E064  Adhichunchanagiri Institute of Technology  Chickmagalur,RI Robotics and AI,--,--,157851,98930,--,--,--,--,--,--,--,--,--,--,--,72610,--,75949,189896,--,--,151881,--,--
E065  Jawaharlal Nehru National College of Engineering  Shimoga,AI ArtificialIntelligence,34713,--,--,34275,--,42037,27142,--,55849,27084,56865,--,26948,--,--,26318,42472,31127,74371,--,94574,57582,--,--
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CE Civil,109952,--,--,138315,--,159916,125698,--,--,156307,--,--,103542,--,--,88999,103748,121457,126133,147537,147688,112847,216649,215996
E065  Jawaharlal Nehru National College of Engineering  Shimoga,CS Computers,16980,--,21756,20144,23557,20680,21039,--,45512,15340,--,18930,16556,--,19447,14453,22267,18909,33913,35267,44744,23098,--,38906
E065  Jawaharlal Nehru National College of Engineering  Shimoga,DS Comp. Sc. Engg-Data Sc.,46317,119884,--,45669,--,59701,45133,--,--,--,49346,--,39484,--,--,34113,--,47895,111499,--,123326,97610,--,--
E065  Jawaharlal Nehru National College of Engineering  Shimoga,EC Electronics,34199,--,83413,34676,47230,45105,35316,136108,64729,30863,--,--,30897,--,35507,29605,33826,31555,60051,168490,78493,39177,166884,150609
E065  Jawaharlal Nehru National College of Engineering  Shimoga,EE Electrical,65906,--,103254,76842,154386,129725,64289,185649,--,62911,136014,95750,53861,104883,--,53859,71262,69267,99194,--,118124,70034,--,--
E065  Jawaharlal Nehru National College of Engineering  Shimoga,ET Elec.Telecommn. Engg.,70736,--,112696,79083,95729,88481,78266,--,--,77309,--,118679,72213,106975,114742,66296,93350,71397,147020,--,--,84033,--,130265
E065  Jawaharlal Nehru National College of Engineering  Shimoga,IE Info.Science,27880,--,60213,28682,35501,32051,29733,--,111659,24233,--,26357,23409,--,30914,21126,26583,23586,55801,92063,63522,39406,--,71160
E065  Jawaharlal Nehru National College of Engineering  Shimoga,ME Mechanical,187631,--,230723,124090,--,--,133010,--,--,142363,--,--,129156,173824,--,122712,124967,144375,176107,--,241115,216459,--,--
E065  Jawaharlal Nehru National College of Engineering  Shimoga,RI Robotics and AI,81312,--,--,71899,--,105513,58417,--,--,70228,--,--,61988,108267,--,57876,74206,73236,92701,--,126546,141745,--,--
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",CE Civil,114114,137990,--,130495,--,136401,122510,--,--,123932,--,--,113130,--,--,111284,--,119257,130753,--,147790,123221,--,--
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",CS Computers,39048,--,--,47280,49876,47291,43654,--,--,40649,--,42586,39947,--,41463,36388,38013,38536,79459,83992,84466,50428,--,80866
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",EC Electronics,79866,--,115070,71053,71212,72727,59925,--,77763,91061,--,--,58377,--,--,54220,56545,67902,135026,138965,139038,104359,--,125240
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",EE Electrical,79943,--,113771,96584,--,101635,90715,--,--,112143,--,--,80655,--,--,78883,86433,82098,137160,--,--,119088,--,--
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",EI Elec. Inst.Engg,136782,--,--,124591,--,133262,124886,--,--,121592,--,--,119333,--,--,117575,140215,119932,219031,--,235048,190271,--,--
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",ME Mechanical,159339,--,--,145043,--,146858,156990,--,--,148825,--,--,139417,--,--,137342,139962,140102,172064,--,189636,172991,196434,--
"E066  University B.D.T. college of Engineering, (H.GOV)  Davangere",RI Robotics and AI,95947,--,--,100273,--,--,87656,--,--,89962,--,--,100842,122117,--,86472,--,106042,155157,--,204083,117842,--,140578
"E070  Bahubali College of Engineering  Hassan Dist,",AI ArtificialIntelligence,78670,--,--,80564,--,104803,94485,--,121983,80764,105963,82947,79416,--,--,77358,97512,80274,148084,--,192771,159168,--,--
"E070  Bahubali College of Engineering  Hassan Dist,",CE Civil,--,--,--,206199,--,--,--,--,--,--,--,--,--,--,--,173940,--,180546,218578,--,--,248740,--,--
"E070  Bahubali College of Engineering  Hassan Dist,",CS Computers,69317,--,94039,59881,--,62673,71955,--,136850,55818,--,96997,64748,--,67091,54763,63905,59650,100179,125785,130770,62844,127574,--
"E070  Bahubali College of Engineering  Hassan Dist,",EC Electronics,90062,--,--,85095,94892,99417,87171,--,--,80641,--,83740,81625,--,89815,73079,82319,78392,129408,--,202503,106323,--,174365
"E070  Bahubali College of Engineering  Hassan Dist,",IE Info.Science,83299,--,--,78177,116021,96459,111455,--,--,109233,--,88956,77292,--,115348,76361,82174,78080,139797,224405,175499,102424,--,194191
"E070  Bahubali College of Engineering  Hassan Dist,",ME Mechanical,--,--,--,203176,--,--,--,--,--,--,--,--,--,--,--,162298,214416,181346,251028,--,--,--,--,--
E071  Vidya Vardhaka College of Engineering  Mysuru,"CA CS (AI, MachineLearning)",15156,42179,32061,17426,--,23090,15886,--,36452,13725,32705,20570,13276,--,--,13116,22997,18599,34037,--,50881,17545,93668,77196
E071  Vidya Vardhaka College of Engineering  Mysuru,CE Civil,50869,--,--,60199,--,99587,59024,261660,--,45642,--,120583,46954,177750,--,44612,60088,62711,59991,193076,87143,156152,--,213859
E071  Vidya Vardhaka College of Engineering  Mysuru,CS Computers,13729,38285,28855,11869,18578,13992,14271,--,33610,8929,--,13878,9336,24894,11645,8096,13337,11313,29711,33773,30872,13527,69852,48341
E071  Vidya Vardhaka College of Engineering  Mysuru,EC Electronics,22269,--,27835,22151,30309,24821,23315,71956,46333,17774,--,--,19697,--,23150,17387,25372,21200,43628,83604,56226,22095,--,74913
E071  Vidya Vardhaka College of Engineering  Mysuru,EE Electrical,28561,91440,--,29518,--,46512,34094,194387,190045,26555,57900,37006,25004,--,--,24431,34230,32781,51579,84311,77415,70404,--,--
E071  Vidya Vardhaka College of Engineering  Mysuru,IE Info.Science,14086,--,29422,14054,24223,18679,18933,--,--,12353,29142,15304,12665,22989,17780,12264,21345,13985,37833,66507,41392,20934,--,28159
E071  Vidya Vardhaka College of Engineering  Mysuru,ME Mechanical,86588,213541,120530,95930,149136,137235,95796,--,--,71100,--,--,76371,--,162279,68399,102198,97762,130408,147924,168187,104265,--,155439
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,AI ArtificialIntelligence,53166,--,120707,46356,--,63481,51957,--,--,42897,--,--,42399,--,95601,37668,46924,56752,88799,112130,128145,63886,161587,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,CE Civil,151811,--,--,169445,--,--,--,--,--,149809,--,--,137966,--,--,103110,115930,147866,156978,--,--,159532,--,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,CF CS(ArtificialIntel.),--,--,108190,49604,--,--,59918,--,--,--,--,--,46080,--,72362,35419,80594,52590,85219,--,152491,48150,--,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,CS Computers,24849,--,--,24018,46610,31854,23597,--,--,21170,--,--,25363,--,--,19536,24202,24969,39223,--,71852,32805,--,72002
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,DS Comp. Sc. Engg-Data Sc.,88282,--,--,58361,--,--,64751,--,81837,39287,--,97154,47519,--,--,33009,76737,73127,42202,--,--,82377,--,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,EC Electronics,58993,88649,--,55243,--,76314,47688,--,--,44648,--,--,44528,--,--,44260,47751,59582,82750,134270,113875,75475,--,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,EE Electrical,101740,--,179110,85678,130282,--,88217,--,--,71737,--,--,71753,124987,132526,68043,--,99502,97946,--,171798,101719,--,--
E075  Ballari Institute of Technology and Management  Near Allipur Bellary,ME Mechanical,--,--,--,192765,--,--,--,--,--,210666,--,--,178418,--,--,158687,179286,210575,253684,--,--,224158,--,--
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT","CA CS (AI, MachineLearning)",88260,--,--,81160,166242,--,--,--,191011,--,--,--,--,103981,--,70234,--,84124,126559,--,--,146613,--,266806
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",CE Civil,--,--,--,--,--,--,--,--,--,209666,--,--,--,--,--,72446,--,--,167345,--,--,--,--,--
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",CS Computers,71351,--,--,51539,--,100101,64789,--,--,52552,--,--,52968,--,--,41792,57622,60166,69389,110194,71292,69211,--,--
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",EC Electronics,122364,--,113029,75984,--,83972,88505,--,--,76301,--,--,77394,--,94162,74068,89887,99960,125718,--,166732,--,--,--
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",EE Electrical,156563,--,--,111364,--,--,137860,--,--,122922,--,--,--,--,--,110458,130287,141233,171370,--,--,143699,--,--
"E076  Proudadevaraya Institute of Technology  Indiranagar Hospet, Ballari DT",ME Mechanical,--,--,--,240370,--,--,--,--,--,--,--,--,219241,--,--,166994,--,211523,251936,--,--,--,--,--
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,CE Civil,145082,--,--,150694,--,174271,117080,--,--,98350,171707,--,101358,172581,178192,96904,104258,122216,125587,--,147854,113899,--,--
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,CS Computers,21963,--,--,25253,--,29491,25027,--,55908,22658,--,29246,20662,--,31244,20088,30677,24525,44882,46792,51340,56301,108836,--
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,EC Electronics,48075,--,71248,42887,53659,48166,51763,--,--,37324,--,--,36683,--,48146,35425,44130,41185,68900,132987,80233,47608,--,--
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,EE Electrical,60114,--,105165,69770,95480,95380,66651,--,--,60936,--,69911,68544,--,80663,58453,80369,63284,91599,138063,134898,60608,--,209583
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,IE Info.Science,31967,--,56539,33724,70635,37247,34791,123883,--,30221,--,34845,30254,--,--,30065,37056,33332,63074,--,94303,43148,177067,125918
E077  Vidya Vikas Institute of Engineering and Technology  Mysuru,ME Mechanical,185953,--,--,131887,--,--,196645,--,--,193836,--,--,--,--,--,111279,121371,138194,149845,--,--,114102,--,--
E078  The Oxford College of Engineering  Bangalore,AI ArtificialIntelligence,34109,80186,44522,32884,--,38795,31813,--,--,30785,66819,40058,30726,--,--,28440,59092,31382,84295,--,85319,85344,--,133741
E078  The Oxford College of Engineering  Bangalore,BT Bio Technology,33628,--,145964,38005,--,65681,35273,--,--,28046,--,47139,54685,--,--,27781,95837,42711,72619,--,120774,71412,--,--
E078  The Oxford College of Engineering  Bangalore,CE Civil,179305,--,--,147475,--,156512,196978,--,--,136974,--,--,145402,155456,157457,135516,199923,149772,179996,--,211285,195930,--,--
E078  The Oxford College of Engineering  Bangalore,CS Computers,25719,--,36369,25632,29355,29737,26402,--,38379,23457,--,--,24067,31699,28257,22220,24930,26559,51088,62821,62233,34851,--,87748
E078  The Oxford College of Engineering  Bangalore,EC Electronics,46947,--,64013,47570,66758,48483,45411,--,--,40142,82068,--,43489,--,47646,39308,39725,43294,96703,154094,103943,68331,167642,154493
E078  The Oxford College of Engineering  Bangalore,EE Electrical,66850,--,--,75362,75940,86324,75889,--,165920,68676,--,76961,70059,--,--,63496,85688,72939,121734,--,140159,153039,--,201357
E078  The Oxford College of Engineering  Bangalore,IE Info.Science,32954,--,62411,31836,37662,36680,31235,--,--,29555,--,--,28932,44013,35861,28095,30739,33045,74241,130597,104847,51079,--,151405
E078  The Oxford College of Engineering  Bangalore,ME Mechanical,140978,--,--,137833,--,--,163338,--,--,175225,--,--,131546,--,141332,124198,--,140232,163001,259353,210386,263257,--,--
E078  The Oxford College of Engineering  Bangalore,MT Mechatronics,140328,--,--,119598,--,157414,138737,--,--,115847,--,--,123944,--,--,107600,174778,151667,162475,--,--,238420,--,--
E079  Acharya Institute of Technology  Bangalore,AE Aeronaut.Engg,45876,--,--,24582,--,56680,26369,103585,113212,20837,--,--,43603,--,--,18964,27000,39258,48305,--,71396,89500,--,--
E079  Acharya Institute of Technology  Bangalore,AI ArtificialIntelligence,19995,--,40614,20961,27645,26566,25393,--,--,18210,--,--,21047,--,23848,18001,21969,23376,46020,91922,70224,44612,--,74670
E079  Acharya Institute of Technology  Bangalore,BT Bio Technology,52303,137137,--,33179,61631,63151,21674,--,--,20976,--,39820,31163,--,--,20342,--,37812,57605,--,90337,26519,--,--
E079  Acharya Institute of Technology  Bangalore,CE Civil,99884,--,--,87952,--,121857,109359,--,--,84288,--,126484,79443,--,--,76996,90349,95708,98718,109435,106197,77070,141172,162944
E079  Acharya Institute of Technology  Bangalore,CS Computers,14837,--,26870,16214,19951,17048,16219,--,29406,12988,--,16156,13228,25443,17136,12439,15571,15538,38234,45578,46853,24256,--,43942
E079  Acharya Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,24480,--,--,23491,37517,35666,28016,51198,37779,23802,--,--,24050,--,--,22899,33813,24593,60636,125099,81686,68282,--,81830
E079  Acharya Institute of Technology  Bangalore,EC Electronics,26751,--,--,28463,40472,30634,35988,--,51796,23574,44552,29784,23818,36723,33472,23347,25937,26367,67946,148066,90646,30480,--,61303
E079  Acharya Institute of Technology  Bangalore,EE Electrical,52148,--,--,52677,144019,61517,56857,--,--,46199,--,--,47970,70908,--,44626,60350,52939,87196,--,106002,72748,--,--
E079  Acharya Institute of Technology  Bangalore,IE Info.Science,15713,--,33850,18725,35844,20186,18431,63712,63292,15304,--,--,15801,27864,19801,15090,21326,19014,53531,130743,67229,28392,74622,97896
E079  Acharya Institute of Technology  Bangalore,ME Mechanical,104434,--,147662,112450,--,132448,126785,--,--,88782,141461,103166,96147,--,--,80787,140050,97121,160621,--,--,118364,--,--
E079  Acharya Institute of Technology  Bangalore,MT Mechatronics,129018,--,--,88421,--,146132,81603,--,--,77746,--,129204,72704,--,--,71877,104423,109357,157596,--,186103,87498,--,--
E081  H M S Institute of Technology  Tumkur,CE Civil,--,--,211722,189765,--,--,173479,--,--,--,--,--,--,222708,--,148327,--,181169,210472,--,--,241937,--,--
E081  H M S Institute of Technology  Tumkur,CS Computers,70695,--,116315,71124,73690,71813,59653,--,--,59912,--,--,63310,--,67808,59144,61549,64265,95952,121240,113714,66192,--,89577
E081  H M S Institute of Technology  Tumkur,EC Electronics,101326,--,--,77551,84522,112801,96217,--,--,81302,--,89706,84487,--,--,76360,82674,77725,129035,--,169571,96525,--,--
E081  H M S Institute of Technology  Tumkur,EE Electrical,111216,--,126111,104959,--,114940,119124,--,--,102945,--,--,111525,--,--,101980,108022,110953,137953,--,163592,171978,--,215982
E081  H M S Institute of Technology  Tumkur,IE Info.Science,81891,--,--,80636,--,86232,78510,--,--,74353,--,--,74188,--,--,73813,75399,77700,123887,127833,140913,85750,--,--
E081  H M S Institute of Technology  Tumkur,ME Mechanical,193106,--,--,221479,--,268482,193519,--,--,181038,--,--,184050,--,--,156995,196217,197006,257013,--,--,--,--,--
E081  H M S Institute of Technology  Tumkur,ZC CSC,127954,--,--,125839,147327,138620,128328,--,134080,123294,--,127881,117706,--,127471,111563,119721,127217,205327,229791,236793,202628,247834,221872
E082  J S S Academy of Technical Education  Bangalore,"CA CS (AI, MachineLearning)",19108,--,28041,20223,--,24742,25455,--,--,16540,62500,21335,16207,26727,--,15535,20117,20349,58825,138086,90792,41302,--,--
E082  J S S Academy of Technical Education  Bangalore,CE Civil,126840,220401,--,112349,--,--,129060,--,--,78953,--,136218,85666,--,--,77564,126412,127819,92487,--,206387,179575,--,--
E082  J S S Academy of Technical Education  Bangalore,CS Computers,13263,--,--,10593,19858,15014,13802,--,20096,8247,21061,15116,8957,--,14241,8153,14507,13910,40415,59974,51252,19671,--,47218
E082  J S S Academy of Technical Education  Bangalore,EC Electronics,30021,42552,35037,23666,37712,29209,39716,59629,90973,19279,--,--,19836,32676,30178,18601,26662,27435,76690,88622,90833,39071,127075,107979
E082  J S S Academy of Technical Education  Bangalore,EI Elec. Inst.Engg,49351,160983,131283,60700,--,72891,60758,169730,--,44892,--,87832,44974,111073,162509,41329,59681,51628,137822,--,--,133824,--,--
E082  J S S Academy of Technical Education  Bangalore,IE Info.Science,13744,--,22921,12522,27056,18836,20109,--,30191,10494,--,17441,10749,--,17466,10035,20719,17072,57227,70398,68927,30884,163906,47574
E082  J S S Academy of Technical Education  Bangalore,ME Mechanical,134648,--,--,109096,--,--,88483,--,--,89972,181313,130381,98572,--,--,85620,155077,122878,145146,--,192762,178724,--,--
E082  J S S Academy of Technical Education  Bangalore,RA Robotics andAutomation,36020,--,106712,35206,--,46043,56294,--,--,--,--,113482,28939,--,--,24476,51740,39996,76337,--,--,76330,--,144237
E083  H.K.B.K.College of Engineering  Bangalore,AI ArtificialIntelligence,57026,--,--,53383,--,55788,48815,--,100656,51313,86022,52222,49496,--,--,47977,55557,51097,84450,--,167832,65565,--,--
E083  H.K.B.K.College of Engineering  Bangalore,CS Computers,44205,--,48128,42719,54044,46904,36202,--,--,36141,--,54265,36503,--,41861,35894,39118,41776,71565,112437,88009,53461,70902,116849
E083  H.K.B.K.College of Engineering  Bangalore,EC Electronics,71958,107365,121899,76665,82253,79245,70297,89847,98344,64708,--,--,65224,79168,77215,63756,65641,68866,122563,173168,160306,87131,--,92653
E083  H.K.B.K.College of Engineering  Bangalore,IE Info.Science,47974,--,70727,52157,96923,56349,47655,--,--,44019,--,56190,48909,66675,--,43819,49128,48784,103743,166525,140919,64039,--,108162
E083  H.K.B.K.College of Engineering  Bangalore,ME Mechanical,--,--,211443,153640,--,--,147639,--,--,138727,--,186131,140115,--,--,136362,149788,181486,200179,--,--,--,--,--
"E085  APS College of Engineering  Somanahalli, Bangalore","CA CS (AI, MachineLearning)",--,--,--,54358,--,--,--,--,--,--,--,73808,55603,--,--,51814,59609,58431,117025,--,--,160368,--,195214
"E085  APS College of Engineering  Somanahalli, Bangalore",CE Civil,--,--,--,166070,--,--,--,--,--,160372,--,--,138442,--,--,135707,--,146294,189765,--,222653,207988,271401,--
"E085  APS College of Engineering  Somanahalli, Bangalore",CS Computers,35853,--,--,37724,--,41429,36151,--,--,29983,--,--,31463,--,41846,29594,40542,35776,72309,84654,73924,96664,--,117251
"E085  APS College of Engineering  Somanahalli, Bangalore",CY CS- CyberSecurity,--,--,93953,56860,125365,--,90506,--,--,59307,--,--,--,--,--,55873,--,69492,95201,--,--,152027,--,--
"E085  APS College of Engineering  Somanahalli, Bangalore",EC Electronics,65272,--,--,60266,90052,73085,70739,79545,156776,54942,--,--,55857,--,75673,52487,90355,65563,95999,--,152074,68500,--,--
"E085  APS College of Engineering  Somanahalli, Bangalore",IE Info.Science,49236,--,88175,52435,68785,55086,55094,--,--,43932,--,--,47388,--,65194,42933,52749,49533,87008,--,109815,103245,--,--
"E085  APS College of Engineering  Somanahalli, Bangalore",ME Mechanical,147150,--,--,138970,--,--,176151,--,--,--,--,--,--,--,--,130857,--,--,192114,--,--,--,--,--
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",AI ArtificialIntelligence,57992,103927,71006,49775,--,82327,52065,--,--,42022,--,--,41941,70040,56298,40443,88577,43740,92931,--,129978,133301,--,--
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",CS Computers,45756,--,--,46183,72729,52628,46598,--,81865,41366,--,61768,42643,--,47890,40262,45570,44912,81503,90701,84685,51231,--,111906
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",EC Electronics,75187,--,100814,76238,148322,77517,79406,--,93578,67484,80622,--,69706,--,117498,67324,72727,75544,114879,182884,153935,79060,--,89026
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",EE Electrical,119440,--,--,85094,--,--,93370,--,--,84514,--,106419,79916,--,--,74453,77706,85516,134174,--,--,124871,--,--
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore","IC CS-IoT, CyberSecurity",102835,--,--,79442,--,--,112844,--,--,79312,--,--,83232,--,--,78083,84749,95754,198428,216904,201391,155095,--,--
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",IE Info.Science,60526,--,--,58168,78151,61786,57823,--,--,53966,--,--,53950,--,--,53332,59312,56468,88429,--,145016,58459,--,--
"E086  Sri Sairam College of Engineering(Formerly Shirdi Sai Engg)  Anekal,Bangalore",ME Mechanical,168215,--,213830,142524,--,--,--,--,--,--,--,--,--,--,--,127135,--,145850,198500,--,--,269943,--,--
E087  Vivekananada Institute of Technology  Bangalore,AI ArtificialIntelligence,58656,--,100460,61178,--,71863,50561,--,--,56771,100769,--,50854,69070,--,49298,54931,61971,120740,--,158701,87608,--,--
E087  Vivekananada Institute of Technology  Bangalore,CE Civil,--,--,--,148439,--,--,175621,--,--,143151,--,--,140064,--,--,130666,191480,136902,168450,--,231047,208184,--,--
E087  Vivekananada Institute of Technology  Bangalore,CS Computers,36984,--,--,40801,62195,42271,36845,--,62181,34314,--,--,36868,--,61588,34233,39540,36451,73464,109691,87779,47467,--,90200
E087  Vivekananada Institute of Technology  Bangalore,EC Electronics,67239,--,120890,63726,81172,79372,62900,--,--,59141,--,71485,58358,--,77399,55882,62305,65144,114855,--,158760,61085,202772,87918
E087  Vivekananada Institute of Technology  Bangalore,IE Info.Science,52218,--,--,50362,86745,58888,52961,--,94478,46427,--,--,45899,--,--,45801,47589,49956,97481,220206,134039,89327,--,95792
E087  Vivekananada Institute of Technology  Bangalore,ME Mechanical,131125,--,--,131809,--,--,--,--,--,--,--,153518,--,--,--,129466,--,152479,218907,--,--,--,--,--
"E088  Bangalore College of Engineering and Technology  Chandapura, Bangalore",AI ArtificialIntelligence,62835,--,--,52976,74269,64200,59563,--,--,54151,--,--,51844,--,--,46991,62757,57201,98197,--,106283,113281,--,--
"E088  Bangalore College of Engineering and Technology  Chandapura, Bangalore",CS Computers,37199,--,--,33755,--,47549,44164,--,--,35294,--,--,33042,--,37982,30110,36273,34706,56631,71579,88901,72096,--,101787
"E088  Bangalore College of Engineering and Technology  Chandapura, Bangalore",EC Electronics,62449,--,--,50394,93923,92060,50494,--,147659,62949,--,--,60130,--,70306,48886,92582,61206,101513,--,--,138578,--,116033
"E088  Bangalore College of Engineering and Technology  Chandapura, Bangalore",EE Electrical,--,--,120454,90656,--,--,115409,--,--,--,--,--,97861,--,132353,83581,--,88609,95228,--,174049,88795,--,--
"E088  Bangalore College of Engineering and Technology  Chandapura, Bangalore",IE Info.Science,64402,--,--,41870,--,--,73494,--,--,44518,--,63330,55184,--,--,39042,58246,51384,81582,--,--,88049,--,--
E090  Sri Revana Siddeswara Institute of Technology  Bangalore North,CE Civil,--,--,--,184868,--,--,--,--,--,--,--,--,178473,--,--,147447,--,183064,201775,--,249049,262326,--,--
E090  Sri Revana Siddeswara Institute of Technology  Bangalore North,CS Computers,37846,--,--,44802,58613,60633,42000,--,--,35003,--,--,35222,--,--,30442,40616,37669,74500,159344,90247,56293,135946,--
E090  Sri Revana Siddeswara Institute of Technology  Bangalore North,EC Electronics,99866,--,--,69736,82542,72346,82946,241975,--,92703,--,--,74598,--,104647,56885,--,64846,76677,184915,--,85185,--,--
E090  Sri Revana Siddeswara Institute of Technology  Bangalore North,ME Mechanical,--,--,--,174741,--,--,175208,--,--,162100,--,--,168263,--,--,155900,190429,158165,225328,--,--,--,--,--
E091  K S Institute of Technology  Bangalore,AI ArtificialIntelligence,34027,--,53571,30285,49521,46718,29794,--,72960,27474,--,37039,29411,--,--,27191,38294,29045,79351,--,141469,61584,--,170488
E091  K S Institute of Technology  Bangalore,CC Computer andComm. Engg.,45877,--,--,58093,--,78634,70479,--,--,44137,--,--,47399,64797,--,43911,78619,59445,105794,--,145742,97340,--,--
E091  K S Institute of Technology  Bangalore,CD Computer Sc.and Design,45934,--,114506,30749,159629,69783,46155,--,128819,33490,--,55859,40202,--,--,29966,66828,51412,117296,206202,170292,69639,--,--
E091  K S Institute of Technology  Bangalore,CS Computers,27091,--,45090,24583,42388,28757,25589,--,29900,19949,--,--,22501,--,29406,19551,28666,25559,69595,78938,86471,42892,--,102384
E091  K S Institute of Technology  Bangalore,EC Electronics,43326,128680,--,48191,71643,53245,44453,--,--,37806,--,51666,40905,--,49242,37035,45471,47993,115830,--,136718,61553,204428,174685
E091  K S Institute of Technology  Bangalore,"IC CS-IoT, CyberSecurity",52175,--,--,44405,--,53706,47649,--,--,42704,--,--,48391,90886,--,39511,91320,51793,149359,--,169555,179259,--,--
E091  K S Institute of Technology  Bangalore,ME Mechanical,187564,--,--,138960,--,168854,141416,239549,--,125037,--,--,129930,--,--,121889,--,159117,225311,--,228860,--,--,--
E092  Vemana Institute of Technology  Bangalore,AI ArtificialIntelligence,52211,--,71405,50611,--,68789,54303,--,--,48437,--,60326,51093,--,--,46669,56721,54335,77993,--,134448,80433,258408,--
E092  Vemana Institute of Technology  Bangalore,CE Civil,184453,--,--,175870,242177,198073,181474,--,--,159791,--,--,170254,--,--,156479,188435,176748,220393,--,--,181432,--,--
E092  Vemana Institute of Technology  Bangalore,CS Computers,38229,--,53677,41777,53299,44515,35998,--,--,32583,--,--,34231,50416,40123,31048,40083,39698,54249,115599,101289,51558,--,53542
E092  Vemana Institute of Technology  Bangalore,DS Comp. Sc. Engg-Data Sc.,61213,--,93455,58691,--,--,65941,83801,113518,56678,--,64620,59189,--,--,53908,71597,57031,122667,--,--,158143,--,--
E092  Vemana Institute of Technology  Bangalore,EC Electronics,69491,151706,173388,71916,83579,81758,79580,--,--,66221,--,82165,69236,--,77208,64264,71842,70503,127307,154127,172237,72456,--,180273
E092  Vemana Institute of Technology  Bangalore,IE Info.Science,48042,--,62069,51883,66509,58676,44221,--,101485,44337,102732,54990,45767,83026,54599,44039,54133,51231,93982,222140,137423,66847,--,68435
E092  Vemana Institute of Technology  Bangalore,ME Mechanical,185766,--,--,158610,--,240639,176505,--,--,147607,--,--,176279,--,--,146397,159068,181700,226862,--,240237,--,--,--
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist","AD ArtificialIntel, Data Sc",88588,--,--,95274,137147,106402,95506,--,--,82351,125770,--,100251,--,--,78096,--,80600,141690,--,149672,88795,--,--
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",CE Civil,--,--,--,195309,--,--,--,--,--,168952,244665,228743,--,--,--,120478,--,177190,234292,--,--,240245,--,--
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",CS Computers,75590,--,120966,61193,--,78776,75679,--,--,68149,--,--,70914,--,--,44451,57399,72469,88531,187472,146043,136960,--,137027
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",EC Electronics,--,--,--,95088,106785,100191,114388,--,--,92419,--,--,88237,--,--,87319,--,96660,141250,--,199190,150610,--,165630
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",ES Electronics andComputer,141370,--,--,132937,--,--,--,--,--,135650,--,--,--,--,--,109515,--,163210,175900,--,268070,--,--,--
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",ME Mechanical,--,--,--,--,--,--,214981,--,--,--,--,--,--,--,--,172594,--,--,--,--,--,--,--,--
"E093  Basavakalyana Engineering College  Basavakalyana, Bidar-Dist",ZC CSC,--,--,--,80712,--,--,--,--,--,--,--,--,82368,--,--,80204,--,133158,149035,--,--,152903,--,171289
